Zeit t / ms;Frequenz f / Hz;Spannung U_A1 / V;FFT U / V
0;0;-0,018;0,00110550244137451
0,1;0,0762939453125;0,15;0,00125560972593094
0,2;0,152587890625;-0,0585;0,000737531525060116
0,3;0,2288818359375;0,0105;0,000499659558000367
0,4;0,30517578125;0,045;0,000384428011398444
0,5;0,3814697265625;-0,114;0,00020922096124574
0,6;0,457763671875;0,126;0,000151642782602478
0,7;0,5340576171875;-0,006;0,000191801174944794
0,8;0,6103515625;0,051;0,000290145313840746
0,9;0,6866455078125;0,0945;0,000246760993026209
1;0,762939453125;0,0945;0,000228000017878087
1,1;0,8392333984375;0,0435;0,000111446584604131
1,2;0,91552734375;-0,063;0,000157300282084459
1,3;0,9918212890625;-0,036;0,000138582455499298
1,4;1,068115234375;0,081;0,000271188250908934
1,5;1,1444091796875;-0,042;0,00032743519458116
1,6;1,220703125;0,0435;0,000306091624876674
1,7;1,2969970703125;-0,0015;0,000204650049532601
1,8;1,373291015625;0,0525;0,000113155882095888
1,9;1,4495849609375;-0,0915;0,000300796588343778
2;1,52587890625;-0,0165;0,000513650070656428
2,1;1,6021728515625;0,1605;0,000711316262539279
2,2;1,678466796875;0,0375;0,000612890218143717
2,3;1,7547607421875;-0,03;0,000437435858872002
2,4;1,8310546875;-0,0165;0,000341153071165822
2,5;1,9073486328125;0,0075;0,000336885488032937
2,6;1,983642578125;0,042;0,000393539012379041
2,7;2,0599365234375;-0,0615;0,000529670034415379
2,8;2,13623046875;0,051;0,000755400475551519
2,9;2,2125244140625;-0,132;0,00092405003608045
3;2,288818359375;-0,0765;0,00086417898028051
3,1;2,3651123046875;-0,0345;0,000583210553735832
3,2;2,44140625;0,099;0,00033995823409991
3,3;2,5177001953125;0,0555;0,000172542820699112
3,4;2,593994140625;-0,0825;0,000148072910159113
3,5;2,6702880859375;0,1155;9,40449393914569E-05
3,6;2,74658203125;0,0255;0,000146532302854004
3,7;2,8228759765625;0,1035;0,000248862901194902
3,8;2,899169921875;0,2145;0,000252331825837168
3,9;2,9754638671875;0,237;0,000312014799869244
4;3,0517578125;0,0375;0,000482541287124513
4,1;3,1280517578125;0,0195;0,000701611807887048
4,2;3,204345703125;0,045;0,000695868552483909
4,3;3,2806396484375;0,105;0,000494015397904493
4,4;3,35693359375;0,069;0,000459019772366363
4,5;3,4332275390625;0,1395;0,000403868813637303
4,6;3,509521484375;0,15;0,00054008778263963
4,7;3,5858154296875;0,1995;0,000584837796717858
4,8;3,662109375;0,066;0,000587647111962718
4,9;3,7384033203125;0,039;0,000485614402736588
5;3,814697265625;-0,006;0,000404189550176031
5,1;3,8909912109375;-0,1845;0,000521263441235217
5,2;3,96728515625;-0,117;0,000594601235536717
5,3;4,0435791015625;-0,198;0,000493786594650533
5,4;4,119873046875;-0,153;0,000597525810706859
5,5;4,1961669921875;-0,093;0,000683602220450574
5,6;4,2724609375;-0,126;0,000776010649622508
5,7;4,3487548828125;-0,0165;0,000639241253919248
5,8;4,425048828125;-0,027;0,000554398447714742
5,9;4,5013427734375;-0,114;0,000464258448502856
6;4,57763671875;-0,1245;0,000332566631113169
6,1;4,6539306640625;0,036;0,000194239357235639
6,2;4,730224609375;0,039;0,000274613447636886
6,3;4,8065185546875;0;0,000354800290726951
6,4;4,8828125;-0,1575;0,000342763224474994
6,5;4,9591064453125;0,009;0,000356630311451097
6,6;5,035400390625;0,0945;0,000437958119083665
6,7;5,1116943359375;0,2325;0,000570546681770731
6,8;5,18798828125;0,252;0,000551555735129294
6,9;5,2642822265625;0,141;0,000471518646019595
7;5,340576171875;0,297;0,000480224499207645
7,1;5,4168701171875;0,126;0,00065110082885072
7,2;5,4931640625;0,1065;0,000764700051821503
7,3;5,5694580078125;0,045;0,000782718918416285
7,4;5,645751953125;-0,0195;0,000786464989964358
7,5;5,7220458984375;-0,0525;0,000825800133569709
7,6;5,79833984375;-0,012;0,000786344751908926
7,7;5,8746337890625;0,015;0,000531594568087522
7,8;5,950927734375;-0,0525;0,000369499459760041
7,9;6,0272216796875;-0,117;0,000351844912184423
8;6,103515625;-0,0375;0,000331194512533024
8,1;6,1798095703125;-0,1095;0,000314056813121444
8,2;6,256103515625;-0,252;0,000355809744896325
8,3;6,3323974609375;-0,129;0,000516023091417035
8,4;6,40869140625;-0,1575;0,000597587007375776
8,5;6,4849853515625;-0,1575;0,000491676477812248
